Rho,Ux,Uy,Uz,Bx,By,Bz,P,Jx,Jy,Jz,U_total,B_total,X,Y
96,13.79554,-433.4692,28.02968,-12.29528,-1.930048,-0.3784353,1.379968,0.03254469,1.060389e-05,-1.390497e-05,1.306558e-05,434.5484831636405,2.402625696943677,-1.0,-21.3125
97,13.42273,-436.08,28.75817,-8.191264,-1.925167,-0.3353338,1.454287,0.02361733,4.38396e-07,5.061979e-07,2.97744e-06,437.1039871102374,2.4359120291341476,0.0,-21.3125
98,13.6715,-435.7044,29.03222,-7.887266,-1.898133,-0.3233991,1.521884,0.02390287,-6.953518e-07,2.488466e-06,5.665221e-07,436.7418035206192,2.454307799161672,1.0,-21.3125
99,13.88812,-435.3108,29.13007,-7.880018,-1.856141,-0.3203368,1.556374,0.02439873,-6.386971e-07,8.244943e-06,-5.675417e-07,436.3555296527423,2.4433941772033507,2.0,-21.3125
100,13.99771,-435.1391,29.1376,-8.003911,-1.794825,-0.3261435,1.56934,0.02463238,-5.024717e-07,1.05981e-05,-2.075411e-06,436.18699966168856,2.40636539179262,3.0,-21.3125
101,14.05254,-435.0884,29.01125,-8.43988,-1.724779,-0.3472774,1.590976,0.02472491,-3.87374e-07,1.217518e-05,-3.598894e-06,436.1362172710917,2.3720600380192236,4.0,-21.3125
102,14.07658,-435.127,28.57089,-9.266289,-1.666706,-0.3774721,1.602343,0.02474851,-3.829162e-07,1.497393e-05,-3.869204e-06,436.1624307482519,2.342626126031085,5.0,-21.3125
103,14.08335,-435.3593,27.8562,-10.15945,-1.637941,-0.4029546,1.596704,0.0247084,-4.025808e-07,1.779856e-05,-3.015004e-06,436.36785216057393,2.322646506198944,6.0,-21.3125
104,14.05141,-435.8169,27.20734,-10.78034,-1.651521,-0.4195852,1.570788,0.02443844,-3.492427e-07,1.982795e-05,-1.955294e-06,436.79838072731127,2.317530645847869,7.0,-21.3125
105,13.89467,-436.3039,26.79919,-11.1102,-1.715449,-0.4284637,1.530396,0.02372412,-2.632344e-07,2.025117e-05,-1.024796e-06,437.26733960348116,2.3384735043687557,8.0,-21.3125
106,13.59885,-436.6556,26.57773,-11.2439,-1.830336,-0.4309001,1.486065,0.0227359,-2.214604e-07,1.923275e-05,-1.744897e-07,437.60817409015897,2.396704811465319,9.0,-21.3125
107,13.27845,-436.8479,26.47556,-11.26677,-1.99155,-0.4270201,1.444901,0.02182791,-2.412871e-07,1.796023e-05,4.66656e-07,437.79445304612585,2.49726980282568,10.0,-21.3125
108,12.99962,-436.9138,26.44066,-11.15301,-2.186636,-0.4198679,1.407054,0.02103876,-2.515524e-07,1.750131e-05,5.787673e-07,437.85518926208437,2.6339071754453327,11.0,-21.3125
109,12.72671,-436.9142,26.44061,-10.67314,-2.383827,-0.4144833,1.372586,0.02019288,-2.36862e-07,1.670188e-05,2.343823e-07,437.84362498073637,2.7818015564205676,12.0,-21.3125
110,12.41982,-436.9155,26.48881,-9.635148,-2.554007,-0.4129296,1.351007,0.01919148,-2.016884e-07,1.355406e-05,-2.609092e-07,437.8237628001112,2.918678215332098,13.0,-21.3125
111,12.09798,-437.0613,26.60926,-8.342838,-2.693102,-0.415647,1.355498,0.01813868,-1.460764e-07,8.704742e-06,-7.716467e-07,437.9500378140546,3.0435071281363877,14.0,-21.3125
112,11.80898,-437.5849,26.74892,-7.310753,-2.809271,-0.4225444,1.380907,0.0172264,-8.918587e-08,5.405064e-06,-1.339453e-06,438.4626512470628,3.158710411554272,15.0,-21.3125
113,11.57832,-438.3788,26.84511,-6.673623,-2.869127,-0.4346914,1.401474,0.01653567,-5.764649e-08,6.544189e-06,-2.183012e-06,439.250690909301,3.2225728429376055,16.0,-21.3125
114,11.41065,-439.0418,26.89668,-6.329469,-2.814083,-0.455752,1.399723,0.01604981,-5.355728e-08,9.348917e-06,-3.323442e-06,439.91044056726406,3.175845949211328,17.0,-21.3125
115,11.30438,-439.4494,26.91843,-6.178432,-2.717514,-0.486699,1.383233,0.01574999,-5.331971e-08,9.462579e-06,-4.175071e-06,440.3164203797123,3.0878943940954326,18.0,-21.3125
116,11.24822,-439.6885,26.92371,-6.132273,-2.69278,-0.5214247,1.371538,0.01559949,-4.701877e-08,7.17376e-06,-4.173519e-06,440.5547275476233,3.066604691122429,19.0,-21.3125
117,11.22524,-439.8341,26.92289,-6.131931,-2.742505,-0.5523405,1.375681,0.01554536,-4.171709e-08,4.330879e-06,-3.56281e-06,440.6999865061841,3.117516947303775,20.0,-21.3125
118,11.22033,-439.943,26.92515,-6.172643,-2.833101,-0.5774021,1.393212,0.01555039,-3.608317e-08,1.998966e-06,-3.064057e-06,440.8093788397973,3.209500605737505,21.0,-21.3125
119,11.23413,-440.0667,26.95482,-6.301625,-2.937945,-0.6004849,1.418237,0.01566879,-2.929146e-08,3.752927e-07,-3.165835e-06,440.93647302957714,3.317152261552371,22.0,-21.3125
120,11.29686,-440.2091,27.07618,-6.632051,-3.039828,-0.6273239,1.446241,0.01610546,-2.3486e-08,-2.104262e-07,-3.581404e-06,441.0908697158319,3.4242813224348567,23.0,-21.3125
121,11.47589,-440.3082,27.4252,-7.438944,-3.111494,-0.6571981,1.468874,0.01729286,-1.949955e-08,1.070826e-06,-3.303046e-06,441.22419524558615,3.502983739978764,24.0,-21.3125
122,11.86107,-440.1802,28.1437,-9.062818,-3.08153,-0.6796992,1.46811,0.01975072,-1.695946e-08,4.70335e-06,-1.986283e-06,441.17208772975556,3.480397264031886,25.0,-21.3125
123,12.44242,-439.0867,29.10217,-11.27225,-2.892034,-0.6885744,1.428338,0.02323859,-1.432974e-08,8.010722e-06,-5.752572e-07,440.19442299472786,3.29820326901411,26.0,-21.3125
124,13.06408,-437.0531,29.92132,-13.20892,-2.646709,-0.6885218,1.371641,0.02659254,-1.068577e-08,7.525074e-06,3.527268e-07,438.2752253752416,3.059498297537889,27.0,-21.3125
125,13.54019,-435.3351,30.41638,-14.40354,-2.488117,-0.6825739,1.334225,0.02892624,-7.027207e-09,4.549154e-06,1.595185e-06,436.63402000857195,2.9046152387666098,28.0,-21.3125
126,13.80354,-434.4325,30.65744,-14.99362,-2.424837,-0.6626776,1.32018,0.030183,-3.363475e-09,2.060031e-06,3.579831e-06,435.7709080747681,2.8393399427526744,29.0,-21.3125
127,13.91539,-434.0522,30.75277,-15.22497,-2.414931,-0.6249884,1.318716,0.03071015,-6.055135e-10,7.305616e-07,4.945273e-06,435.4065283146474,2.8216155166059678,30.0,-21.3125
128,13.95116,-433.9297,30.78473,-15.29379,-2.428695,-0.5832734,1.322704,0.03087621,1.077059e-10,1.229498e-07,4.605915e-06,435.2890811355449,2.826360404086598,31.0,-21.3125
129,13.95811,-433.906,30.79238,-15.30652,-2.438798,-0.5640231,1.325391,0.03090792,1.304069e-10,-4.983503e-08,4.013325e-06,435.26644375207104,2.8324051696426853,32.0,-21.3125
130,2.504778,-297.7418,15.17202,-43.98795,-16.40025,-0.4178009,-2.620405,0.05152091,2.189251e-08,-0.0003102044,6.254363e-06,301.35578541538393,16.613527019226403,-32.0,-20.625
131,2.640625,-300.1785,14.95884,-45.15344,-16.2856,-0.3780918,-2.625163,0.05481977,-2.035798e-06,-0.000334698,9.172802e-06,303.9238916245796,16.500157621847016,-31.0,-20.625
132,2.912188,-303.7782,14.72351,-47.44027,-16.07037,-0.304606,-2.690856,0.06147938,-8.186363e-06,-0.0003802612,1.22271e-05,307.8125334674224,16.296940902048824,-30.0,-20.625
133,3.200992,-306.4609,14.55872,-49.8108,-15.86128,-0.2465906,-2.804922,0.06879315,-1.648254e-05,-0.0004282761,1.25104e-05,310.8236724470779,16.10927054799479,-29.0,-20.625
134,3.538012,-309.9109,14.21605,-52.2764,-15.59873,-0.2084061,-2.899106,0.07744759,-2.476937e-05,-0.0004872713,1.304802e-05,314.61036857257665,15.867218606758186,-28.0,-20.625
135,3.941987,-314.1389,13.82372,-54.68174,-15.23438,-0.1883876,-2.962132,0.08774387,-3.174336e-05,-0.0005542772,1.423445e-05,319.1620848679805,15.520826326509093,-27.0,-20.625
